variant,epsilon,top1_accuracy,top5_accuracy,baseline_top1,baseline_top5,mse,ssim
original,NP,92.5,97.5,2.5,12.5,0.0,1.0
pixelized_b2,NP,96.25,98.75,2.5,12.5,91.66098022460938,0.9052973268496095
pixelized_b4,NP,85.0,95.0,2.5,12.5,318.49639892578125,0.6961368823499626
pixelized_b8,NP,87.5,93.75,2.5,12.5,775.9652099609375,0.39930048057580947
pixelized_b16,NP,80.0,95.0,2.5,12.5,1524.6400146484375,0.22667108929818675
blur_k5,NP,93.75,97.5,2.5,12.5,70.67999267578125,0.9229983603077332
blur_k15,NP,91.25,100.0,2.5,12.5,277.691162109375,0.6776076739383297
blur_k45,NP,76.25,95.0,2.5,12.5,769.693603515625,0.355429170271352
blur_k99,NP,62.5,80.0,2.5,12.5,1178.2440185546875,0.24886136108420107
pixelized_b16,0.1,3.75,15.0,2.5,12.5,8329.9345703125,0.011541316243427104
pixelized_b16,0.5,15.0,23.75,2.5,12.5,2275.52880859375,0.06820317215233707
pixelized_b16,1.0,32.5,66.25,2.5,12.5,1716.154052734375,0.12827146243991586
blur_k99,0.1,2.5,11.25,2.5,12.5,8500.08203125,0.008256183092560487
blur_k99,0.5,6.25,18.75,2.5,12.5,1961.3052978515625,0.05908977331750564
blur_k99,1.0,7.5,25.0,2.5,12.5,1379.1947021484375,0.12456736437610871
